#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_NUCC01000039.1    -         ToxI                 RF02519    cm        1       34     4697     4664      -    no    1 0.41   0.0   58.5   9.3e-05 !   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig39_140514, whole genome shotgun sequence
NZ_NUSR01000055.1    -         ToxI                 RF02519    cm        1       34    11774    11807      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain AFS043930 AFS043930_101_G11_Contig40_140514, whole genome shotgun sequence
NZ_NUHW01000021.1    -         ToxI                 RF02519    cm        1       34    14782    14815      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain AFS052460 AFS052460_98_C8_Contig21_140514, whole genome shotgun sequence
NZ_NUGA01000030.1    -         ToxI                 RF02519    cm        1       34    22925    22958      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain AFS056670 AFS056670_71_D3_Contig30_140411, whole genome shotgun sequence
NZ_NVJS01000101.1    -         ToxI                 RF02519    cm        1       34     8958     8925      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain AFS061780 AFS061780_101_F11_Contig120_140514, whole genome shotgun sequence
NZ_CP015154.1        -         ToxI                 RF02519    cm        1       34     5157     5190      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain Bc601 plasmid pBTBC4, complete sequence
NZ_LDEU01000156.1    -         ToxI                 RF02519    cm        1       34    41417    41450      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain BMB3201 BMB3201_contig000156, whole genome shotgun sequence
NZ_PDVK01000080.1    -         ToxI                 RF02519    cm        1       34    11882    11915      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain BR145 NODE_80_length_21037_cov_226.763, whole genome shotgun sequence
NZ_SMDF01000024.1    -         ToxI                 RF02519    cm        1       34    18791    18824      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain LP_1_YM Ga0304823_124, whole genome shotgun sequence
NZ_SMDG01000023.1    -         ToxI                 RF02519    cm        1       34    18791    18824      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain LP_2_YM Ga0304824_123, whole genome shotgun sequence
NZ_RBVK01000078.1    -         ToxI                 RF02519    cm        1       34    11882    11915      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain T414 map unlocalized plasmid p414D NODE_78, whole genome shotgun sequence
NZ_NHNR01000067.1    -         ToxI                 RF02519    cm        1       34     5776     5743      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain WBt-2 contig-100_66, whole genome shotgun sequence
NZ_CP011351.1        -         ToxI                 RF02519    cm        1       34    80282    80249      -    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain YC-10 plasmid pYC3, complete sequence
NZ_CP013059.1        -         ToxI                 RF02519    cm        1       34     8567     8600      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus thuringiensis strain YWC2-8 plasmid pYWC2-8-4, complete sequence
NZ_NUAW01000023.1    -         ToxI                 RF02519    cm        1       34    14356    14389      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus toyonensis strain AFS026256 AFS026256_99_A8_Contig23_140514, whole genome shotgun sequence
NZ_NUTC01000069.1    -         ToxI                 RF02519    cm        1       34    41888    41921      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus toyonensis strain AFS040610 AFS040610_104_F7_Contig28_140523, whole genome shotgun sequence
NZ_NURI01000019.1    -         ToxI                 RF02519    cm        1       34    14332    14365      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus toyonensis strain AFS052650 AFS052650_105_A4_Contig19_140523, whole genome shotgun sequence
NZ_NVFJ01000032.1    -         ToxI                 RF02519    cm        1       34    14335    14368      +    no    1 0.38   0.0   46.0     0.072 ?   Bacillus toyonensis strain AFS084242 AFS084242_105_E4_Contig32_140523, whole genome shotgun sequence
NZ_PPFT01000004.1    -         ToxI                 RF02519    cm        1       34     6727     6694      -    no    1 0.41   0.0   46.0     0.074 ?   Bacillus cereus strain EGD-AQ9 Scaffold_4, whole genome shotgun sequence
NZ_CP015178.1        -         ToxI                 RF02519    cm        1       34     3330     3297      -    no    1 0.41   0.0   46.0     0.075 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 plasmid pBMB4227, complete sequence
NZ_NFDM01000111.1    -         ToxI                 RF02519    cm        1       34      566      599      +    no    1 0.41   0.0   46.0     0.075 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 4C1_contig000111, whole genome shotgun sequence
NZ_NFDM01000111.1    -         ToxI                 RF02519    cm        1       34     6587     6620      +    no    1 0.41   0.0   46.0     0.075 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 4C1_contig000111, whole genome shotgun sequence
NZ_NFDM01000112.1    -         ToxI                 RF02519    cm        1       34     1683     1650      -    no    1 0.41   0.0   46.0     0.075 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 4C1_contig000112, whole genome shotgun sequence
NZ_NFDM01000112.1    -         ToxI                 RF02519    cm        1       34     5910     5877      -    no    1 0.41   0.0   46.0     0.075 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 4C1_contig000112, whole genome shotgun sequence
NZ_PGSC01000682.1    -         ToxI                 RF02519    cm        1       34      566      599      +    no    1 0.41   0.0   46.0     0.075 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C3 map unlocalized plasmid pBGSC4C3 53233, whole genome shotgun sequence
NZ_PGSC01000515.1    -         ToxI                 RF02519    cm        1       34      566      599      +    no    1 0.41   0.0   46.0     0.075 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C3 44954, whole genome shotgun sequence
NZ_PHSM01000019.1    -         ToxI                 RF02519    cm        1       34     1019     1052      +    no    1 0.41   0.0   46.0     0.075 ?   Bacillus thuringiensis serovar kurstaki strain BGSC 4D4 map unlocalized plasmid pBGSC4D4 59882, whole genome shotgun sequence
NZ_PGEE01000099.1    -         ToxI                 RF02519    cm        1       34     2122     2155      +    no    1 0.47   0.0   45.6     0.089 ?   Bacillus thuringiensis serovar kyushuensis strain BGSC 4U1 48629, whole genome shotgun sequence
NZ_NFEP01000274.1    -         ToxI                 RF02519    cm        1       34     5978     5945      -    no    1 0.38   0.0   44.5      0.16 ?   Bacillus thuringiensis serovar aizawai strain T07019 T07019_contig000274, whole genome shotgun sequence
NZ_NTWG01000043.1    -         ToxI                 RF02519    cm        1       34     8028     8061      +    no    1 0.32   0.0   44.4      0.17 ?   Bacillus cereus strain AFS010272 AFS010272_119_E3_Contig43_140618, whole genome shotgun sequence
NZ_NTQZ01000018.1    -         ToxI                 RF02519    cm        1       34    17250    17283      +    no    1 0.32   0.0   44.4      0.17 ?   Bacillus cereus strain AFS024629 AFS024629_107_B7_Contig18_140523, whole genome shotgun sequence
NZ_NUNJ01000023.1    -         ToxI                 RF02519    cm        1       34     8073     8040      -    no    1 0.32   0.0   44.4      0.17 ?   Bacillus cereus strain AFS036381 AFS036381_102_G11_Contig23_140514, whole genome shotgun sequence
NZ_NVDN01000020.1    -         ToxI                 RF02519    cm        1       34     1060     1027      -    no    1 0.32   0.0   44.4      0.17 ?   Bacillus cereus strain AFS061148 AFS061148_95_B8_Contig20_140514, whole genome shotgun sequence
NZ_NFET01000017.1    -         ToxI                 RF02519    cm        1       34     6781     6748      -    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis serovar aizawai strain T07151 T07151_contig000017, whole genome shotgun sequence
NZ_NTTG01000054.1    -         ToxI                 RF02519    cm        1       34    20337    20370      +    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain AFS019518 AFS019518_110_C3_Contig54_140523, whole genome shotgun sequence
NZ_NUNI01000051.1    -         ToxI                 RF02519    cm        1       34     4971     5004      +    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain AFS036383 AFS036383_98_G3_Contig51_140514, whole genome shotgun sequence
NZ_NUJX01000098.1    -         ToxI                 RF02519    cm        1       34      997      964      -    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain AFS045516 AFS045516_95_D10_Contig98_140514, whole genome shotgun sequence
NZ_NUJR01000021.1    -         ToxI                 RF02519    cm        1       34     5359     5326      -    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain AFS046081 AFS046081_73_E10_Contig21_140411, whole genome shotgun sequence
NZ_NUFP01000043.1    -         ToxI                 RF02519    cm        1       34    13379    13412      +    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain AFS057784 AFS057784_115_E3_Contig43_140618, whole genome shotgun sequence
NZ_NVEF01000063.1    -         ToxI                 RF02519    cm        1       34    16132    16165      +    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain AFS059517 AFS059517_71_B4_Contig63_140411, whole genome shotgun sequence
NZ_NUYQ01000047.1    -         ToxI                 RF02519    cm        1       34    46492    46459      -    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain AFS076772 AFS076772_106_F12_Contig47_140523, whole genome shotgun sequence
NZ_NUVX01000036.1    -         ToxI                 RF02519    cm        1       34    12317    12350      +    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain AFS085496 AFS085496_105_E5_Contig36_140523, whole genome shotgun sequence
NZ_NUVS01000011.1    -         ToxI                 RF02519    cm        1       34    20553    20586      +    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain AFS085829 AFS085829_95_E12_Contig11_140514, whole genome shotgun sequence
NZ_NVLI01000114.1    -         ToxI                 RF02519    cm        1       34    18545    18512      -    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain AFS096960 AFS096960_120_B12_Contig59_140618, whole genome shotgun sequence
NZ_RAYC01000035.1    -         ToxI                 RF02519    cm        1       34    14021    14054      +    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain c-21 Scaffold34_1, whole genome shotgun sequence
NZ_CP016589.1        -         ToxI                 RF02519    cm        1       34   176374   176341      -    no    1 0.32   0.0   44.4      0.17 ?   Bacillus thuringiensis strain KNU-07 plasmid pBTKNU07-01, complete sequence
NZ_NUCC01000039.1    -         ToxI                 RF02519    cm        1       34     4765     4732      -    no    1 0.41   0.0   44.3      0.18 ?   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig39_140514, whole genome shotgun sequence
NZ_PCOB01000044.1    -         ToxI                 RF02519    cm        1       27       27        1      -    3'    3 0.44   0.0   43.9      0.23 ?   Bacillus sp. MYb78 MYb78_contig000044, whole genome shotgun sequence
NZ_LWLZ01000021.1    -         ToxI                 RF02519    cm        1       34    16928    16961      +    no    1 0.44   0.0   43.3      0.31 ?   Bacillus cereus strain C3-5-14 contig00021, whole genome shotgun sequence
NZ_LWLW01000131.1    -         ToxI                 RF02519    cm        1       34     5768     5801      +    no    1 0.44   0.0   43.3      0.31 ?   Bacillus cereus strain P4-0-9 contig00131, whole genome shotgun sequence
NZ_NTRF01000053.1    -         ToxI                 RF02519    cm        1       34    21038    21071      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus cereus strain AFS023898 AFS023898_115_F11_Contig53_140618, whole genome shotgun sequence
NZ_NTQZ01000018.1    -         ToxI                 RF02519    cm        1       34    17216    17249      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus cereus strain AFS024629 AFS024629_107_B7_Contig18_140523, whole genome shotgun sequence
NZ_NUNJ01000023.1    -         ToxI                 RF02519    cm        1       34     8107     8074      -    no    1 0.47   0.0   41.7      0.72 ?   Bacillus cereus strain AFS036381 AFS036381_102_G11_Contig23_140514, whole genome shotgun sequence
NZ_NVDN01000020.1    -         ToxI                 RF02519    cm        1       34     1094     1061      -    no    1 0.47   0.0   41.7      0.72 ?   Bacillus cereus strain AFS061148 AFS061148_95_B8_Contig20_140514, whole genome shotgun sequence
NZ_NUUY01000101.1    -         ToxI                 RF02519    cm        1       34     1127     1094      -    no    1 0.47   0.0   41.7      0.72 ?   Bacillus cereus strain AFS088052 AFS088052_115_C9_Contig72_140618, whole genome shotgun sequence
NZ_LXJX01000028.1    -         ToxI                 RF02519    cm        1       34   273432   273465      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus sp. SM1 SM1_c33, whole genome shotgun sequence
NZ_NTTG01000054.1    -         ToxI                 RF02519    cm        1       34    20303    20336      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS019518 AFS019518_110_C3_Contig54_140523, whole genome shotgun sequence
NZ_NUNI01000051.1    -         ToxI                 RF02519    cm        1       34     4937     4970      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS036383 AFS036383_98_G3_Contig51_140514, whole genome shotgun sequence
NZ_NUKV01000072.1    -         ToxI                 RF02519    cm        1       34    16980    17013      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS043063 AFS043063_98_E11_Contig72_140514, whole genome shotgun sequence
NZ_NUJX01000098.1    -         ToxI                 RF02519    cm        1       34     1031      998      -    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS045516 AFS045516_95_D10_Contig98_140514, whole genome shotgun sequence
NZ_NUJR01000021.1    -         ToxI                 RF02519    cm        1       34     5393     5360      -    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS046081 AFS046081_73_E10_Contig21_140411, whole genome shotgun sequence
NZ_NUFP01000043.1    -         ToxI                 RF02519    cm        1       34    13345    13378      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS057784 AFS057784_115_E3_Contig43_140618, whole genome shotgun sequence
NZ_NVEF01000063.1    -         ToxI                 RF02519    cm        1       34    16098    16131      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS059517 AFS059517_71_B4_Contig63_140411, whole genome shotgun sequence
NZ_NUYQ01000047.1    -         ToxI                 RF02519    cm        1       34    46526    46493      -    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS076772 AFS076772_106_F12_Contig47_140523, whole genome shotgun sequence
NZ_NUVX01000036.1    -         ToxI                 RF02519    cm        1       34    12283    12316      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS085496 AFS085496_105_E5_Contig36_140523, whole genome shotgun sequence
NZ_NUVS01000011.1    -         ToxI                 RF02519    cm        1       34    20519    20552      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS085829 AFS085829_95_E12_Contig11_140514, whole genome shotgun sequence
NZ_NVLI01000114.1    -         ToxI                 RF02519    cm        1       34    18579    18546      -    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain AFS096960 AFS096960_120_B12_Contig59_140618, whole genome shotgun sequence
NZ_RAYC01000035.1    -         ToxI                 RF02519    cm        1       34    13987    14020      +    no    1 0.47   0.0   41.7      0.72 ?   Bacillus thuringiensis strain c-21 Scaffold34_1, whole genome shotgun sequence
NZ_NVDA01000026.1    -         ToxI                 RF02519    cm        1       34    99738    99771      +    no    1 0.35   0.0   41.6      0.78 ?   Bacillus cereus strain AFS063234 AFS063234_106_E10_Contig26_140523, whole genome shotgun sequence
NZ_NTSR01000031.1    -         ToxI                 RF02519    cm        1       34    22031    21998      -    no    1 0.35   0.0   41.6      0.78 ?   Bacillus thuringiensis strain AFS029508 AFS029508_73_G6_Contig31_140411, whole genome shotgun sequence
NZ_NUOS01000055.1    -         ToxI                 RF02519    cm        1       34    77185    77218      +    no    1 0.35   0.0   41.6      0.78 ?   Bacillus thuringiensis strain AFS031814 AFS031814_104_E5_Contig55_140523, whole genome shotgun sequence
NZ_NUMM01000004.1    -         ToxI                 RF02519    cm        1       34    41190    41223      +    no    1 0.35   0.0   41.6      0.78 ?   Bacillus thuringiensis strain AFS039774 AFS039774_110_G5_Contig4_140523, whole genome shotgun sequence
NZ_NUJR01000285.1    -         ToxI                 RF02519    cm        1       34      519      552      +    no    1 0.35   0.0   41.6      0.78 ?   Bacillus thuringiensis strain AFS046081 AFS046081_73_E10_Contig285_140411, whole genome shotgun sequence
NZ_NUHU01000025.1    -         ToxI                 RF02519    cm        1       34    64651    64684      +    no    1 0.35   0.0   41.6      0.78 ?   Bacillus thuringiensis strain AFS052676 AFS052676_99_E7_Contig25_140514, whole genome shotgun sequence
NZ_NUHS01000001.1    -         ToxI                 RF02519    cm        1       34     3794     3761      -    no    1 0.35   0.0   41.6      0.78 ?   Bacillus thuringiensis strain AFS052794 AFS052794_102_F6_Contig1_140514, whole genome shotgun sequence
NZ_NVDU01000048.1    -         ToxI                 RF02519    cm        1       34     3474     3441      -    no    1 0.35   0.0   41.6      0.78 ?   Bacillus thuringiensis strain AFS060060 AFS060060_110_G4_Contig48_140523, whole genome shotgun sequence
NZ_NUXA01000020.1    -         ToxI                 RF02519    cm        1       34    40465    40498      +    no    1 0.35   0.0   41.6      0.78 ?   Bacillus thuringiensis strain AFS081620 AFS081620_109_H9_Contig20_140523, whole genome shotgun sequence
NZ_RAYC01000047.1    -         ToxI                 RF02519    cm        1       34     3615     3582      -    no    1 0.35   0.0   41.6      0.78 ?   Bacillus thuringiensis strain c-21 Scaffold46_1, whole genome shotgun sequence
NZ_FWZF01000015.1    -         ToxI                 RF02519    cm        1       34    52900    52867      -    no    1 0.35   0.0   40.9       1.1 ?   Bacillus cereus strain 16-00176, whole genome shotgun sequence
NZ_CP016589.1        -         ToxI                 RF02519    cm        1       34   176408   176375      -    no    1 0.44   0.0   40.6       1.3 ?   Bacillus thuringiensis strain KNU-07 plasmid pBTKNU07-01, complete sequence
NC_018512.1          -         ToxI                 RF02519    cm        1       27     6798     6824      +    3'    3 0.41   0.0   40.3       1.5 ?   Bacillus thuringiensis HD-789 plasmid pBTHD789-6, complete sequence
NZ_NTRF01000053.1    -         ToxI                 RF02519    cm        1       34    21072    21105      +    no    1 0.29   0.0   40.1       1.7 ?   Bacillus cereus strain AFS023898 AFS023898_115_F11_Contig53_140618, whole genome shotgun sequence
NZ_NUUY01000101.1    -         ToxI                 RF02519    cm        1       34     1093     1060      -    no    1 0.29   0.0   40.1       1.7 ?   Bacillus cereus strain AFS088052 AFS088052_115_C9_Contig72_140618, whole genome shotgun sequence
NZ_LXJX01000028.1    -         ToxI                 RF02519    cm        1       34   273466   273499      +    no    1 0.35   0.0   40.1       1.7 ?   Bacillus sp. SM1 SM1_c33, whole genome shotgun sequence
NZ_NUKV01000072.1    -         ToxI                 RF02519    cm        1       34    17014    17047      +    no    1 0.35   0.0   40.1       1.7 ?   Bacillus thuringiensis strain AFS043063 AFS043063_98_E11_Contig72_140514, whole genome shotgun sequence
NZ_MUAT01000011.1    -         ToxI                 RF02519    cm        1       34     9758     9791      +    no    1 0.38   0.0   40.0       1.8 ?   Bacillus mycoides strain FSL E2-0214 NODE_11_length_115030_cov_115.921, whole genome shotgun sequence
NZ_MUAT01000011.1    -         ToxI                 RF02519    cm        1       34    59365    59398      +    no    1 0.38   0.0   40.0       1.8 ?   Bacillus mycoides strain FSL E2-0214 NODE_11_length_115030_cov_115.921, whole genome shotgun sequence
NZ_NUCC01000039.1    -         ToxI                 RF02519    cm        1       34     4799     4766      -    no    1 0.32   0.0   39.9       1.9 ?   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig39_140514, whole genome shotgun sequence
NZ_NTZP01000001.1    -         ToxI                 RF02519    cm        1       34   174591   174624      +    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS001542 AFS001542_95_G6_Contig1_140514, whole genome shotgun sequence
NZ_NTYT01000027.1    -         ToxI                 RF02519    cm        1       34    85676    85709      +    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS003289 AFS003289_105_C8_Contig27_140523, whole genome shotgun sequence
NZ_NTWZ01000018.1    -         ToxI                 RF02519    cm        1       34   101590   101623      +    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS008436 AFS008436_105_B11_Contig28_140523, whole genome shotgun sequence
NZ_NTUD01000033.1    -         ToxI                 RF02519    cm        1       34    20819    20786      -    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS017032 AFS017032_105_A12_Contig33_140523, whole genome shotgun sequence
NZ_NTQN01000013.1    -         ToxI                 RF02519    cm        1       34    24362    24329      -    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS025653 AFS025653_106_D5_Contig13_140523, whole genome shotgun sequence
NZ_NUPH01000004.1    -         ToxI                 RF02519    cm        1       34   110409   110442      +    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS030860 AFS030860_105_H1_Contig4_140523, whole genome shotgun sequence
NZ_NUNZ01000015.1    -         ToxI                 RF02519    cm        1       34    22996    22963      -    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS034246 AFS034246_71_H1_Contig15_140411, whole genome shotgun sequence
NZ_NUNC01000007.1    -         ToxI                 RF02519    cm        1       34    20824    20791      -    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS037512 AFS037512_108_A4_Contig7_140523, whole genome shotgun sequence
NZ_NUKZ01000005.1    -         ToxI                 RF02519    cm        1       34   161450   161483      +    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS042863 AFS042863_105_H7_Contig5_140523, whole genome shotgun sequence
NZ_NVAV01000030.1    -         ToxI                 RF02519    cm        1       34    24201    24168      -    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS069947 AFS069947_106_F10_Contig30_140523, whole genome shotgun sequence
NZ_NVCD01000016.1    -         ToxI                 RF02519    cm        1       34    20820    20787      -    no    1 0.32   0.0   39.7       2.1 ?   Bacillus cereus strain AFS071440 AFS071440_105_C2_Contig16_140523, whole genome shotgun sequence
NZ_NUFP01000013.1    -         ToxI                 RF02519    cm        1       34    23123    23090      -    no    1 0.32   0.0   39.7       2.1 ?   Bacillus thuringiensis strain AFS057784 AFS057784_115_E3_Contig13_140618, whole genome shotgun sequence
NZ_NVKQ01000041.1    -         ToxI                 RF02519    cm        1       34     2252     2219      -    no    1 0.32   0.0   39.7       2.1 ?   Bacillus thuringiensis strain AFS098506 AFS098506_120_G3_Contig41_140618, whole genome shotgun sequence
NZ_NUHU01000132.1    -         ToxI                 RF02519    cm        1       34     3669     3636      -    no    1 0.29   0.0   39.7       2.1 ?   Bacillus thuringiensis strain AFS052676 AFS052676_99_E7_Contig35_140514, whole genome shotgun sequence
NZ_NUHS01000036.1    -         ToxI                 RF02519    cm        1       34    20529    20496      -    no    1 0.29   0.0   39.7       2.1 ?   Bacillus thuringiensis strain AFS052794 AFS052794_102_F6_Contig36_140514, whole genome shotgun sequence
NZ_FMBF01000050.1    -         ToxI                 RF02519    cm        1       34     1945     1978      +    no    1 0.38   0.0   39.1       2.8 ?   Bacillus mycoides strain SDA_NFFE664, whole genome shotgun sequence
NZ_NTQR01000039.1    -         ToxI                 RF02519    cm        1       34    20192    20225      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cereus strain AFS025457 AFS025457_96_D3_Contig39_140514, whole genome shotgun sequence
NZ_NTQN01000033.1    -         ToxI                 RF02519    cm        1       34    57122    57089      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cereus strain AFS025653 AFS025653_106_D5_Contig33_140523, whole genome shotgun sequence
NZ_NTTC01000145.1    -         ToxI                 RF02519    cm        1       34      100      133      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cereus strain AFS028292 AFS028292_106_E5_Contig145_140523, whole genome shotgun sequence
NZ_NUNT01000014.1    -         ToxI                 RF02519    cm        1       34    32362    32395      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cereus strain AFS034785 AFS034785_108_B2_Contig14_140523, whole genome shotgun sequence
NZ_NUHL01000014.1    -         ToxI                 RF02519    cm        1       34    14611    14644      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cereus strain AFS053272 AFS053272_104_D11_Contig15_140523, whole genome shotgun sequence
NZ_NUWD01000074.1    -         ToxI                 RF02519    cm        1       34    13481    13514      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cereus strain AFS084444 AFS084444_100_G10_Contig32_140514, whole genome shotgun sequence
NZ_NVMO01000016.1    -         ToxI                 RF02519    cm        1       34     9830     9797      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cereus strain AFS093598 AFS093598_100_C4_Contig16_140514, whole genome shotgun sequence
NZ_CP024122.1        -         ToxI                 RF02519    cm        1       34     6953     6920      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cytotoxicus strain CH_1 plasmid pCh1_67, complete sequence
NZ_CP024110.1        -         ToxI                 RF02519    cm        1       34     4342     4375      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cytotoxicus strain CH_13 plasmid pCh13_79, complete sequence
NZ_CP024108.1        -         ToxI                 RF02519    cm        1       34    21095    21062      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cytotoxicus strain CH_15 plasmid pCh15_83, complete sequence
NZ_CP024118.1        -         ToxI                 RF02519    cm        1       34    10360    10393      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cytotoxicus strain CH_2 plasmid pCh2_83, complete sequence
NZ_CP024106.1        -         ToxI                 RF02519    cm        1       34    28894    28927      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cytotoxicus strain CH_23 plasmid pCh23_67, complete sequence
NZ_CP024103.1        -         ToxI                 RF02519    cm        1       34    66396    66429      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cytotoxicus strain CH_25 plasmid pCh25_67, complete sequence
NZ_CP024115.1        -         ToxI                 RF02519    cm        1       34     8060     8027      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cytotoxicus strain CH_3 plasmid pCh3_83, complete sequence
NZ_CP024100.1        -         ToxI                 RF02519    cm        1       34      398      365      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cytotoxicus strain CH_38 plasmid pCh38_83, complete sequence
NZ_CP024097.1        -         ToxI                 RF02519    cm        1       34    25255    25222      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cytotoxicus strain CH_39 plasmid pCh39_83, complete sequence
NZ_CP024112.1        -         ToxI                 RF02519    cm        1       34    21095    21062      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus cytotoxicus strain CH_4 plasmid pCh4_83, complete sequence
NC_010181.1          -         ToxI                 RF02519    cm        1       34    47175    47208      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus weihenstephanensis KBAB4 plasmid pBWB402, complete genome
NZ_MKZP01000036.1    -         ToxI                 RF02519    cm        1       34    22683    22716      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus mycoides strain GM5LP BAWEI_contig000036, whole genome shotgun sequence
NZ_MKZQ01000038.1    -         ToxI                 RF02519    cm        1       34    22683    22716      +    no    1 0.38   0.0   38.9       3.3 ?   Bacillus mycoides strain GM6LP BACWE_contig000038, whole genome shotgun sequence
NZ_CP020746.1        -         ToxI                 RF02519    cm        1       34    83001    82968      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus mycoides strain Gnyt1 plasmid unnamed3, complete sequence
NZ_LLWA01000019.1    -         ToxI                 RF02519    cm        1       34     6177     6144      -    no    1 0.38   0.0   38.9       3.3 ?   Bacillus mycoides strain M2E_15 contig_19, whole genome shotgun sequence
